Title,manifest_url,canvas_number,image_url,City,Country,wkt,Date,Month,Year,Journal Type,notice,pre_1900,gender (M/F/NA),photographic? (yes/no),"vêtement (chair, costume, accessoire)","altérité (distance, performance, normatif)",bugs (x si pas sûr que léopard),tags
Catalogue illustré du Salon,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k207012d/manifest.json,120,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k207012d/f121/241,1237,1224,806/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1901,na,1901,Exhibition Catalogue,,no,M,no,accessoire,performance,,
Beiblatt der Fliegenden Blätter,https://digi.ub.uni-heidelberg.de/diglit/iiif/fb_bb114/manifest.json,187,"https://digi.ub.uni-heidelberg.de/iiif/2/fb_bb114%3A188.jpg/974,342,974,1247/full/0/default.jpg",Munich,Germany,POINT(11.575 48.1375),01.01.1901,na,1901,Humour,,no,M,yes,chair,performance,,
La Revue de l'art ancien et moderne,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k432515v/manifest.json,336,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k432515v/f337/160,540,1326,804/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.07.1901,7,1901,Art History,,no,F,no,accessoire,distance,,
Le Sport universel illustré,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6528432s/manifest.json,190,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6528432s/f191/474,551,2850,2061/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),06.07.1901,7,1901,Sports,,no,NA,yes,accessoire,distance,,
National Geographic Society,https://iiif.unige.ch/dhportal/ug817707/manifest,12,"https://iiif.unige.ch/iiif/2/visualcontagions/vc_sources/NationalGeographic/b237009d06ef26c1b360c5522d4fcf46f670d447.pdf;13/340,401,1168,1621/full/0/default.jpg","Washington, D.C.",United States of America,POINT(-77.036666666667 38.895),01.10.1901,10,1901,Geography,,no,M,yes,costume,normatif,,
"Der wahre Jakob : illustrierte Zeitschrift für Satire, Humor und Unterhaltung",https://digi.ub.uni-heidelberg.de/diglit/iiif/wj1902/manifest.json,95,"https://digi.ub.uni-heidelberg.de/iiif/2/wj1902%3A3753.jpg/101,551,2260,2858/full/0/default.jpg",Berlin,Germany,POINT(13.383333333333 52.516666666667),01.01.1902,na,1902,Humour,,no,M,no,costume,performance,,
The Cosmopolitan 1902-08: Vol 33 Iss 4,https://iiif.archive.org/iiif/sim_cosmopolitan_1902-08_33_4/manifest.json,116,"https://iiif.archive.org/image/iiif/3/sim_cosmopolitan_1902-08_33_4%2fsim_cosmopolitan_1902-08_33_4_jp2.zip%2fsim_cosmopolitan_1902-08_33_4_jp2%2fsim_cosmopolitan_1902-08_33_4_0116.jp2/676,501,501,472/full/0/default.jpg",New York City,United States of America,POINT(-74.006015 40.712728),01.08.1902,8,1902,Fashion,,no,F,no,costume,normatif,,
New-York tribune. [volume],https://iiif.unige.ch/dhportal/ug14403957/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug14793548/full/full/0/default.jpg,New York City,United States of America,POINT(-74 40.7),08.02.1903,2,1903,News,,no,NA,yes,accessoire,distance,,
New-York tribune. [volume],https://iiif.unige.ch/dhportal/ug14252266/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug13947400/full/full/0/default.jpg,New York City,United States of America,POINT(-74 40.7),10.05.1903,5,1903,News,,no,F,no,costume,performance,,
The Pensacola journal.,https://iiif.unige.ch/dhportal/ug19296118/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug20207639/full/full/0/default.jpg,Pensacola,United States of America,POINT(-87.2 30.433333333333),12.02.1905,2,1905,News,,no,F,no,costume,altérité,,
Rock Island Argus.,https://iiif.unige.ch/dhportal/ug17313991/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug17534473/full/full/0/default.jpg,Rock Island,United States of America,POINT(-90.573055555556 41.489166666667),04.11.1905,11,1905,News,,no,M,yes,costume,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,226,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f227/295,1332,847,1367/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,262,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f263/281,481,1355,2306/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,263,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f264/384,1396,844,1433/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,266,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f267/312,490,1357,2289/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,274,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f275/276,452,1324,601/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,275,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f276/383,508,1354,2321/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,277,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f278/396,366,1354,2348/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,281,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f282/399,684,864,2042/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,285,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f286/396,763,851,2067/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,286,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f287/273,1771,1324,910/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,293,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f294/294,393,1331,2287/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,294,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f295/254,358,1315,2268/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,310,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f311/774,358,837,1363/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,52,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f53/248,355,1312,736/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,60,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f61/196,1026,835,1610/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
L'Humanité féminine,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/manifest.json,64,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k860079w/f65/762,766,842,1841/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.01.1906,na,1906,Woman,,no,F,yes,accessoire,performance,,
Jugend,https://digi.ub.uni-heidelberg.de/diglit/iiif/jugend1906_1/manifest.json,583,"https://digi.ub.uni-heidelberg.de/iiif/2/jugend1906_1%3A556_557.jpg/173,169,2244,1042/full/0/default.jpg",Munich,Germany,POINT(11.575 48.1375),01.01.1906,na,1906,Modern Art Journal,,no,F,yes,costume,performance,,
Le Monde illustré (1857),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42209836/manifest.json,116,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42209836/f117/2193,4095,1978,1595/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),06.01.1906,1,1906,"Culture, Leisure",,no,M,no,chair,performance,,
Almanach des beaux-arts (Paris),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k58319962/manifest.json,59,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k58319962/f60/327,227,2249,1581/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.02.1906,2,1906,Art Journal,,no,F,yes,accessoire,performance,,
New-York tribune. [volume],https://iiif.unige.ch/dhportal/ug12328801/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug14932518/full/full/0/default.jpg,New York City,United States of America,POINT(-74 40.7),27.05.1906,5,1906,News,,no,F,no,costume,performance,,
The Manitowoc pilot. [volume],https://iiif.unige.ch/dhportal/ug25617719/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug26842181/full/full/0/default.jpg,Manitowoc,United States of America,POINT(-87.6810199 44.0990417),11.10.1906,10,1906,News,,no,M,no,costume,distance,,
The Salt Lake herald. [volume],https://iiif.unige.ch/dhportal/ug16196020/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug16573429/full/full/0/default.jpg,Salt Lake City,United States of America,POINT(-111.88333333333 40.75),28.10.1906,10,1906,News,,no,F,yes,costume,performance,,
Revue illustrée (Paris. 1885),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6267836w/manifest.json,409,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6267836w/f410/78,422,2588,3229/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),20.12.1906,12,1906,"Culture, Leisure",,no,F,yes,accessoire,normatif,,
Revue illustrée (Paris. 1885),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6267836w/manifest.json,819,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6267836w/f820/1295,1308,2086,3013/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),20.12.1906,12,1906,"Culture, Leisure",,no,F,yes,accessoire,normatif,,
L'art et la mode : journal de la vie mondaine,https://gallica.bnf.fr/iiif/ark:/12148/bd6t5343970k/manifest.json,25,"https://gallica.bnf.fr/iiif/ark:/12148/bd6t5343970k/f26/1423,3098,1575,2260/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),06.04.1907,4,1907,Fashion,,no,F,yes,costume,performance,,
National Geographic Society,https://iiif.unige.ch/dhportal/ug619917/manifest,34,"https://iiif.unige.ch/iiif/2/visualcontagions/vc_sources/NationalGeographic/d7888dba88fc216c36121c9e9654a9eb4fc40e21.pdf;35/435,376,1162,1614/full/0/default.jpg","Washington, D.C.",United States of America,POINT(-77.036666666667 38.895),01.07.1907,7,1907,Geography,,no,M,yes,costume,normatif,,
The Jasper weekly courier. [volume],https://iiif.unige.ch/dhportal/ug23080829/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug21966850/full/full/0/default.jpg,Jasper,United States of America,POINT(-86.9328 38.3953),20.09.1907,9,1907,News,,no,M,yes,costume,performance,,
Rock Island Argus.,https://iiif.unige.ch/dhportal/ug16488647/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug17399029/full/full/0/default.jpg,Rock Island,United States of America,POINT(-90.573055555556 41.489166666667),26.10.1907,10,1907,News,,no,M,yes,costume,performance,,
The Red Book 1908-01: Vol 10 Iss 3,https://iiif.archive.org/iiif/sim_redbook_1908-01_10_3/manifest.json,14,"https://iiif.archive.org/image/iiif/3/sim_redbook_1908-01_10_3%2fsim_redbook_1908-01_10_3_jp2.zip%2fsim_redbook_1908-01_10_3_jp2%2fsim_redbook_1908-01_10_3_0014.jp2/118,0,2409,3966/full/0/default.jpg",New York City,United States of America,POINT(-74.006015 40.712728),01.01.1908,na,1908,,,no,F,yes,costume,performance,,
La Pratique automobile vulgarisée,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5321967v/manifest.json,327,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5321967v/f328/346,599,773,1476/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),05.01.1908,1,1908,Automobile,,no,F,no,costume,normatif,,
The Evening statesman.,https://iiif.unige.ch/dhportal/ug26751938/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug26299627/full/full/0/default.jpg,Walla Walla,United States of America,POINT(-118.33027777778 46.065),04.03.1908,3,1908,News,,no,F,yes,costume,performance,,
Le Témoin (Paris. 1906),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1206283g/manifest.json,2,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1206283g/f3/914,954,3148,4095/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),13.06.1908,6,1908,Politics,,no,F,no,costume,performance,,
L'Art et les artistes,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5864894n/manifest.json,75,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5864894n/f76/159,351,1855,2381/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),01.04.1909,4,1909,Art Journal,,no,F,no,costume,performance,,
Cosmopolitan 1909-05: Vol 46 Iss 6,https://iiif.archive.org/iiif/sim_cosmopolitan_1909-05_46_6/manifest.json,16,"https://iiif.archive.org/image/iiif/3/sim_cosmopolitan_1909-05_46_6%2fsim_cosmopolitan_1909-05_46_6_jp2.zip%2fsim_cosmopolitan_1909-05_46_6_jp2%2fsim_cosmopolitan_1909-05_46_6_0016.jp2/319,545,1119,1361/full/0/default.jpg",New York City,United States of America,POINT(-74.006015 40.712728),01.05.1909,5,1909,Fashion,,no,FM,no,accessoire,normatif,,
The Washington herald. [volume],https://iiif.unige.ch/dhportal/ug10885892/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug10264117/full/full/0/default.jpg,"Washington, D.C.",United States of America,POINT(-77.036666666667 38.895),16.05.1909,5,1909,News,,no,F,no,chair,normatif,,
Corriere dei piccoli : supplemento illustrato del Corriere della sera,https://iiif.unige.ch/dhportal/ug850657/manifest,2,"https://iiif.unige.ch/iiif/2/visualcontagions/vc_sources/Digiteca/Corriere_dei_piccoli_1909-12-05.pdf;3/172,398,427,321/full/0/default.jpg",Milan,Italy,POINT(9.19 45.466944444444),05.12.1909,12,1909,,,no,M,no,accessoire,performance,,
Corriere dei piccoli : supplemento illustrato del Corriere della sera,https://iiif.unige.ch/dhportal/ug850657/manifest,2,"https://iiif.unige.ch/iiif/2/visualcontagions/vc_sources/Digiteca/Corriere_dei_piccoli_1909-12-05.pdf;3/613,403,429,334/full/0/default.jpg",Milan,Italy,POINT(9.19 45.466944444444),05.12.1909,12,1909,,,no,M,no,accessoire,performance,,
The North Platte semi-weekly tribune.,https://iiif.unige.ch/dhportal/ug22512001/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug22809213/full/full/0/default.jpg,North Platte,United States of America,POINT(-100.770501 41.135914),14.12.1909,12,1909,News,,no,F,no,chair,performance,,
Jugend,https://digi.ub.uni-heidelberg.de/diglit/iiif/jugend1910_1/manifest.json,12,"https://digi.ub.uni-heidelberg.de/iiif/2/jugend1910_1%3A0010.jpg/1004,185,700,826/full/0/default.jpg",Munich,Germany,POINT(11.575 48.1375),01.01.1910,na,1910,Modern Art Journal,,no,M,no,costume,normatif,,
"Der wahre Jakob : illustrierte Zeitschrift für Satire, Humor und Unterhaltung",https://digi.ub.uni-heidelberg.de/diglit/iiif/wj1910/manifest.json,372,"https://digi.ub.uni-heidelberg.de/iiif/2/wj1910%3A6840.jpg/186,2422,760,250/full/0/default.jpg",Berlin,Germany,POINT(13.383333333333 52.516666666667),01.01.1910,na,1910,Humour,,no,NA,no,accessoire,performance,,
